Hs,Tp,Direction,damp_config,heave_std,heave_max,pitch_std,pitch_max,roll_std,roll_max
2.0,4.36,0,low,0.12877663694883765,1.7263146065397943,-0.5100975632667542,6.251101822348159,-0.9410131797299341,0.30317777457154965
2.0,4.36,45,low,0.13925098849216866,-0.4245517007043199,-0.48737406730651855,-1.6097338609467275,-0.9404771929678541,0.3143861758648404
2.0,4.36,90,low,0.12369603387007543,0.0357676042116547,-0.5530365109443665,0.3471153362619255,-0.9406545252391586,0.2908121208736449
2.0,4.36,135,low,0.13557881320462442,0.1865070456989218,-0.45480862259864807,0.9609755997090594,-0.9383302166188756,0.30856033521714377
2.0,4.36,180,low,0.1583341045990233,1.8951719422253985,-0.4141266942024231,7.458985532638461,-0.9414918853643316,0.30818978912321315
4.0,4.36,0,low,0.2034034926352163,3.2825963422187914,-0.26248279213905334,11.941034090091971,-0.9415018688503791,0.24545154630981633
4.0,4.36,45,low,0.22362294528933813,-0.8546615717086761,-0.264306902885437,-3.5623479139831504,-0.9457333714421149,0.2908403258401795
4.0,4.36,90,low,0.18886192050971945,0.08553098536342918,-0.3623460531234741,0.5619341771689355,-0.9492976177442405,0.265654127262387
4.0,4.36,135,low,0.218625655953097,0.3524632091127057,-0.21230444312095642,1.703569134198478,-0.942324510510735,0.3257489028797241
4.0,4.36,180,low,0.2663558083280174,3.854880369618814,-0.13393785059452057,15.197026523635802,-0.9513163068981634,0.377423443405532
2.0,6.540000000000001,0,low,0.33628313506447727,2.0286981457298126,0.046764373779296875,7.53186059648633,-0.9316371939496177,0.2941961549124144
2.0,6.540000000000001,45,low,0.37038911583544615,-0.8855436609279774,0.27068474888801575,-3.0757340747733535,-0.9331370280052762,0.29720215601845934
2.0,6.540000000000001,90,low,0.3490576427423247,-0.07213055447035854,0.16346478462219238,-0.7989515597653094,-0.9340735666981731,0.28096563471994246
2.0,6.540000000000001,135,low,0.3637301734062734,-0.12497936854522029,0.25920620560646057,0.22292584856499165,-0.9328998057988147,0.298534267862884
2.0,6.540000000000001,180,low,0.39207846584453093,3.0658589332139004,0.35993367433547974,13.419232455859381,-0.9340756650353531,0.33711431687095095
4.0,6.540000000000001,0,low,0.5169305915932424,3.601585013349534,0.5872423052787781,12.815011076869132,-0.8918805700449711,0.10912101995122153
4.0,6.540000000000001,45,low,0.5760802616107314,-1.660019436180891,0.9673279523849487,-6.85892889849287,-0.8902063905634411,-0.005446418996799929
4.0,6.540000000000001,90,low,0.5433563556766899,-0.798654599730948,0.7632079720497131,-6.0028082284877335,-0.9092834666990085,0.09474718311123681
4.0,6.540000000000001,135,low,0.5738732298650484,-0.13054614031893097,0.8796404600143433,0.049213220517234646,-0.9132662811222945,0.27763578683132234
4.0,6.540000000000001,180,low,0.6055943955054042,6.132834736621588,0.9182562828063965,24.348546003641367,-0.9265478835299514,0.588977752309478
2.0,8.72,0,low,0.42938781263723924,1.7827415060058223,0.4634787440299988,6.807009003741135,-0.9286966506982718,0.2893230510810731
2.0,8.72,45,low,0.4650543936393083,-0.863526514996283,0.6507200598716736,-3.4478116180175595,-0.9308332470545522,0.2881651555616279
2.0,8.72,90,low,0.4489273925428229,-0.2830529229703962,0.5657407641410828,-1.4378594075593494,-0.9318511883295456,0.2863990604046435
2.0,8.72,135,low,0.456043810613461,-0.3189300446465221,0.5898730158805847,-0.6270006936365919,-0.9322679518646984,0.2974042861804622
2.0,8.72,180,low,0.48194528934450864,2.8131968291070955,0.7039557695388794,11.148582115662485,-0.9325633684615348,0.3391653652972751
4.0,8.72,0,low,0.719705479673362,3.2162346527433527,1.286339521408081,12.025118632923764,-0.8877476604369261,0.09192974843470351
4.0,8.72,45,low,0.7868681419686241,-1.6733569365335659,1.637769103050232,-7.165604392226445,-0.8815127608694463,-0.05971841242613821
4.0,8.72,90,low,0.7576830300856333,-1.0818594449437366,1.399791955947876,-5.594844444457456,-0.9009547354095333,0.09115898687522715
4.0,8.72,135,low,0.7683227054286891,-0.43675930526661877,1.4851934909820557,-0.7914174342239626,-0.9055802810909652,0.2397166946515064
4.0,8.72,180,low,0.8070821842367828,5.738317651633418,1.7247507572174072,23.05501477671931,-0.9059095421139609,0.5080214858596555
2.0,10.9,0,low,0.4631647771141533,1.3607058177515516,0.49790048599243164,5.444919273480887,-0.9320920620076221,0.293816084645216
2.0,10.9,45,low,0.4923871514226215,-0.7020550866235091,0.7044845819473267,-2.303107771616565,-0.9325771535824329,0.30112717460454513
2.0,10.9,90,low,0.4811679224657835,-0.2811049898271809,0.6133329272270203,-1.5341979451419103,-0.9334120626997638,0.29909383903010994
2.0,10.9,135,low,0.48601773035731743,-0.34010060580112,0.6354365944862366,-0.5792551100172645,-0.9340903802884939,0.3019678582276684
2.0,10.9,180,low,0.505787218763861,2.1406122352061474,0.7646992206573486,10.067490813743168,-0.9342715204715097,0.32438440060929336
4.0,10.9,0,low,0.8225871658626064,2.472471487075841,1.4816017150878906,8.908599867254097,-0.893899814624976,0.12254572565550018
4.0,10.9,45,low,0.8849734328293528,-1.429011647198521,1.848788857460022,-5.429475319367693,-0.8835898218695519,0.0461798817522691
4.0,10.9,90,low,0.8588614751834153,-0.8348927843400544,1.6665552854537964,-6.004905950336574,-0.8957413240486082,0.14075890891376558
4.0,10.9,135,low,0.8618683673748191,-0.482128357619678,1.7060962915420532,-1.0480771602128236,-0.9174238070913511,0.25505836974348417
4.0,10.9,180,low,0.9055336723438915,4.4340096925453745,1.9633432626724243,20.390424137965596,-0.8992232764732576,0.3584010148048511
2.0,13.080000000000002,0,low,0.4801461442667643,1.0095872926497678,0.6223600506782532,4.798420512837999,-0.93359616367226,0.29084298682754905
2.0,13.080000000000002,45,low,0.5009997799044914,-0.5597180628827187,0.7800271511077881,-1.331994463631914,-0.9343974008579355,0.3078363481467365
2.0,13.080000000000002,90,low,0.4933372232152549,-0.23284328942648924,0.6868223547935486,-1.0124786411455409,-0.9346368833211753,0.30781777573197217
2.0,13.080000000000002,135,low,0.4977509086903324,-0.29817624744836035,0.6977381706237793,-0.9272466314836558,-0.9355655836707992,0.3038866848190532
2.0,13.080000000000002,180,low,0.5124258353282983,1.612052653193005,0.8264504671096802,6.4211234586278385,-0.9356515321656264,0.3142810014691867
4.0,13.080000000000002,0,low,0.8867902317745121,1.934104954370291,1.8683172464370728,7.900893479938232,-0.8873917969052362,0.0937882096950202
4.0,13.080000000000002,45,low,0.9385704319408663,-1.1467027864731116,2.252647638320923,-2.433911443751011,-0.8806390504499205,0.07758759304852704
4.0,13.080000000000002,90,low,0.9152203073393262,-0.6773758743469409,2.0230963230133057,-3.8832989299688725,-0.8933635145574516,0.15048973307890887
4.0,13.080000000000002,135,low,0.9177472418086946,-0.4607051848720183,1.9570683240890503,-1.6104138916559672,-0.9188626875354647,0.2749595112101814
4.0,13.080000000000002,180,low,0.9555614549053387,3.399825959538856,2.355109453201294,13.842590689878561,-0.8866341386797753,0.23872698143872936
2.0,4.36,0,linhigh,0.11698600810603346,1.7073181778345254,-0.5461679697036743,6.2046561680940036,-0.9411797508658082,0.302316624544492
