DOF,velocity_RMS,velocity_max_abs,linear_RMS,linear_max_abs,quadratic_RMS,quadratic_max_abs,total_RMS,total_max_abs,quadratic_to_linear_RMS_ratio,linear_contribution_percentage,quadratic_contribution_percentage
heave,1.0497957,3.93432,4.199183,15.73728,2.2379289,15.478873,6.282665,31.216152,0.5329439,65.23396,34.76604
roll,2.2469687,6.23056,730.26483,2024.9319,2301.2427,11645.963,2994.8645,13670.895,3.151244,24.089165,75.910835
pitch,2.7193415,8.155504,883.78595,2650.5388,3673.3042,19953.676,4503.1084,22604.215,4.1563277,19.393646,80.606346
