DOF,velocity_RMS,velocity_max_abs,linear_RMS,linear_max_abs,quadratic_RMS,quadratic_max_abs,total_RMS,total_max_abs,quadratic_to_linear_RMS_ratio,linear_contribution_percentage,quadratic_contribution_percentage
heave,1.0497957,3.93432,4.199183,15.73728,1.1189644,7.7394366,5.224981,23.476717,0.26647195,78.9595,21.040493
roll,2.2469687,6.23056,730.26483,2024.9319,767.08093,3881.9875,1472.5612,5906.9194,1.0504147,48.770622,51.22938
pitch,2.7193415,8.155504,883.78595,2650.5388,1224.4347,6651.225,2069.1946,9301.764,1.3854426,41.92094,58.079056
