Hs,Tp,Direction,damp_config,heave_std,pitch_std,roll_std,heave_max,pitch_max,roll_max
2.0,4.36,0,low,0.1287766369488376,1.726431330515379,0.0001167239755844,0.43091561646318,5.946869991155975,0.0010540566206344
2.0,4.36,45,low,0.1392509884921686,0.7792130786221357,1.2037647793264556,0.4531031256613356,2.7697743034612543,4.693894340272822
2.0,4.36,90,low,0.1236960338700754,0.7618611950242071,0.7260935908125524,0.3876180142947921,2.850719839548049,2.8079363326296463
2.0,4.36,135,low,0.1355788132046244,0.5890545019200593,0.4025474562211374,0.4835215940202275,2.3478548342461867,1.6954395697542708
2.0,4.36,180,low,0.1583341045990233,1.8953059871990052,0.0001340449736068,0.5273651911619085,7.149683894223842,0.0011118492914052
4.0,4.36,0,low,0.2034034926352163,3.282792123825633,0.0001957816068411,0.6790190767113258,11.694557603105531,0.0010249406766237
4.0,4.36,45,low,0.2236229452893381,1.617196126301811,2.471857698010487,0.6814264685566779,5.964849329340181,9.818037569163511
4.0,4.36,90,low,0.1888619205097194,1.599632554759039,1.51410156939561,0.5869515646207664,6.261995130966858,5.965715081060309
4.0,4.36,135,low,0.218625655953097,1.25266062018175,0.9001974110690444,0.7300200673897785,5.393012836021593,4.01519260470284
4.0,4.36,180,low,0.2663558083280174,3.855144496264821,0.0002641266460064,0.8173784563036428,14.81799143546508,0.0016116447651904
2.0,6.540000000000001,0,low,0.3362831350644772,2.028970511541312,0.0002723658114997,0.9784015677289146,7.236609056219239,0.0010553853546755
2.0,6.540000000000001,45,low,0.3703891158354461,1.3988515130459551,2.2843951739739325,1.203821776893292,5.610644399333589,8.983580630125402
2.0,6.540000000000001,90,low,0.3490576427423247,1.4811085103370885,1.553239064807447,1.0975383513203654,5.28919708499414,6.369114279479392
2.0,6.540000000000001,135,low,0.3637301734062734,0.8959990015200512,1.0209783700652717,1.1921060114052753,4.267665424364787,4.343273843662679
2.0,6.540000000000001,180,low,0.3920784658445309,3.06625281218438,0.0003938789704795,1.2940093393708327,13.080863893165198,0.0012542458232333
4.0,6.540000000000001,0,low,0.5169305915932424,3.6019348941660985,0.0003498808165645,1.4791228753237493,12.70415092249281,0.0017391344251
4.0,6.540000000000001,45,low,0.5760802616107314,2.838140314669437,4.498159750850328,1.85753434294839,10.346801549649909,17.20028402914598
4.0,6.540000000000001,90,low,0.5433563556766899,2.656687939007158,3.455342538738106,1.6724914387487215,8.649069374157612,14.746624785756584
4.0,6.540000000000001,135,low,0.5738732298650484,2.0559244935418906,2.186470633860821,1.7929067411366375,9.273566244497411,9.5019888108115
4.0,6.540000000000001,180,low,0.6055943955054042,6.133375283528544,0.0005405469069562,1.844804166336348,23.757715888976115,0.0022025522284851
