filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,damp_case,case_id,seastate,Mean_Z,Mean_pitch,Mean_roll,MPM_Z,MPM_pitch,MPM_roll,std_Z,std_pitch,std_roll
ymlfiles\Case_001_H1_T4_dir0_nodamp.yml,1,4,3.1008,0,nodamp,nodamp,nodamp,1,0.0,100,0,150,0,nodamp,1,Hs1_Tp4_dir0,-0.15605642406226067,0.6867061542967577,-0.0023367993500723206,-0.038499176151838,3.684553565056633,-0.001909759007615561,0.02987220220734371,0.7518570954911697,0.00011178349756828883
ymlfiles\Case_002_H1_T4_dir0_lowdamp.yml,1,4,3.1008,0,lowdamp,lowdamp,lowdamp,1,1.0,100,300,150,200,lowdamp,2,Hs1_Tp4_dir0,-0.15605620615226665,0.6866980311165496,-0.0023367958192890043,-0.0385858734330988,3.684022660575744,-0.001910175144402967,0.02985011638776045,0.7517259824702414,0.0001117048468444418
ymlfiles\Case_003_H1_T4_dir0_middamp.yml,1,4,3.1008,0,middamp,middamp,middamp,1,2.5,100,800,150,850,middamp,3,Hs1_Tp4_dir0,-0.1560556748315392,0.6866709818776303,-0.0023367674386962226,-0.0386930753344166,3.6822375332742716,-0.0019104531007203484,0.029822740546197397,0.7513017481907419,0.00011158827435133092
ymlfiles\Case_004_H1_T4_dir0_highdamp.yml,1,4,3.1008,0,highdamp,highdamp,highdamp,1,4.0,100,1300,150,1300,highdamp,4,Hs1_Tp4_dir0,-0.1560552284611035,0.6866521944462665,-0.0023367650705704056,-0.0388056095759758,3.681041352376301,-0.0019100520956615514,0.029792362906316497,0.7510064525414573,0.0001116874355477051
ymlfiles\Case_005_H2_T8_dir180_nodamp.yml,2,8,6.2016,180,nodamp,nodamp,nodamp,1,0.0,100,0,150,0,nodamp,5,Hs2_Tp8_dir180,-0.1568972139844877,0.6491868860590587,-0.002357285567407666,1.6247750451179186,13.266697577379482,-0.0010060658316304305,0.46708275201478483,3.305794446335055,0.00035392260477733173
ymlfiles\Case_006_H2_T8_dir180_lowdamp.yml,2,8,6.2016,180,lowdamp,lowdamp,lowdamp,1,1.0,100,300,150,200,lowdamp,6,Hs2_Tp8_dir180,-0.1569792602693388,0.6494657664399797,-0.0023556154771545643,1.619062010398465,13.200292193836221,-0.0008105479605295389,0.46560653350088,3.2881680611690447,0.00040483013437038977
ymlfiles\Case_007_H2_T8_dir180_middamp.yml,2,8,6.2016,180,middamp,middamp,middamp,1,2.5,100,800,150,850,middamp,7,Hs2_Tp8_dir180,-0.1570391207926202,0.650447480072801,-0.0023552532329619113,1.611268474753994,12.985182150371436,-0.0009713951468662868,0.46357907517326746,3.231246038159789,0.0003624885268755324
ymlfiles\Case_008_H2_T8_dir180_highdamp.yml,2,8,6.2016,180,highdamp,highdamp,highdamp,1,4.0,100,1300,150,1300,highdamp,8,Hs2_Tp8_dir180,-0.1571069252835705,0.6510419293614434,-0.0023570394536716137,1.6031929272385739,12.846291264625828,-0.0008715736176463957,0.4614797672729576,3.1945557141132332,0.0003892136282266154
ymlfiles\Case_009_H4_T8_dir45_nodamp.yml,4,8,6.2016,45,nodamp,nodamp,nodamp,1,0.0,100,0,150,0,nodamp,9,Hs4_Tp8_dir45,-0.02617159201464451,0.3251282386672378,0.03640235890060225,2.7949822511349622,10.805373155185748,17.179113346910665,0.740700132256839,2.7538099022045857,4.499563431918412
ymlfiles\Case_010_H4_T8_dir45_lowdamp.yml,4,8,6.2016,45,lowdamp,lowdamp,lowdamp,1,1.0,100,300,150,200,lowdamp,10,Hs4_Tp8_dir45,-0.027077040933710755,0.3281907566841773,0.032229880309781314,2.783472544859042,10.778676494544039,17.02657039197784,0.7379159612178224,2.745990321505427,4.459969836698453
ymlfiles\Case_011_H4_T8_dir45_middamp.yml,4,8,6.2016,45,middamp,middamp,middamp,1,2.5,100,800,150,850,middamp,11,Hs4_Tp8_dir45,-0.02833848378236598,0.3333362540192658,0.02652158572551796,2.7666030382859983,10.67807387228113,16.783294076586678,0.7338538954654558,2.717800944912853,4.397196601237257
ymlfiles\Case_012_H4_T8_dir45_highdamp.yml,4,8,6.2016,45,highdamp,highdamp,highdamp,1,4.0,100,1300,150,1300,highdamp,12,Hs4_Tp8_dir45,-0.029623170055290766,0.33813379381509057,0.020997382912494818,2.7499248137833097,10.615369059124722,16.550808598845368,0.7298120906886071,2.699933363797317,4.337429027726584
ymlfiles\Case_013_H6_T10_dir90_nodamp.yml,6,10,7.7519,90,nodamp,nodamp,nodamp,1,0.0,100,0,150,0,nodamp,13,Hs6_Tp10_dir90,-0.0038675035845109214,0.3477408686497514,0.14944962790774105,4.150538958629476,9.786599506288566,21.71050776569631,1.104847391075439,2.4818340627032254,5.723179492838574
ymlfiles\Case_014_H6_T10_dir90_lowdamp.yml,6,10,7.7519,90,lowdamp,lowdamp,lowdamp,1,1.0,100,300,150,200,lowdamp,14,Hs6_Tp10_dir90,-0.0037188650343789684,0.34695924152482943,0.1466500473398812,4.13635274661865,9.756501104508134,21.580904297238025,1.1010365401300395,2.474125570316392,5.689520596964872
ymlfiles\Case_015_H6_T10_dir90_middamp.yml,6,10,7.7519,90,middamp,middamp,middamp,1,2.5,100,800,150,850,middamp,15,Hs6_Tp10_dir90,-0.0034671257043591562,0.34613596775298383,0.14282345172624428,4.115626110485712,9.669816189911002,21.370531970475483,1.0955234494619095,2.4513012563425947,5.6353534933600224
ymlfiles\Case_016_H6_T10_dir90_highdamp.yml,6,10,7.7519,90,highdamp,highdamp,highdamp,1,4.0,100,1300,150,1300,highdamp,16,Hs6_Tp10_dir90,-0.0031842526634758396,0.34456273037443386,0.13920872947678306,4.095237931322426,9.609421806481668,21.1708573134686,1.0901573298209015,2.4355935870402146,5.583305151106438
ymlfiles\Case_017_H8_T9_dir90_nodamp.yml,8,9,6.9767,90,nodamp,nodamp,nodamp,1,0.0,100,0,150,0,nodamp,17,Hs8_Tp9_dir90,-0.05640679307442839,0.3237363128904865,0.4221169720090803,4.823436772737459,14.582189881316967,30.27120766345443,1.2909294814650725,3.744396056559493,7.891258061343641
ymlfiles\Case_018_H8_T9_dir90_lowdamp.yml,8,9,6.9767,90,lowdamp,lowdamp,lowdamp,1,1.0,100,300,150,200,lowdamp,18,Hs8_Tp9_dir90,-0.05528101839166197,0.32050836816811734,0.414305482268082,4.796556884818076,14.519284544446574,30.010887839450938,1.2835917591451056,3.7287242453948077,7.82535861488295
ymlfiles\Case_019_H8_T9_dir90_middamp.yml,8,9,6.9767,90,middamp,middamp,middamp,1,2.5,100,800,150,850,middamp,19,Hs8_Tp9_dir90,-0.05347036936043684,0.31493334382804095,0.40413218110086435,4.759361553887593,14.337595816538293,29.59882696634558,1.2732724213116826,3.6822949394564843,7.718676535685894
ymlfiles\Case_020_H8_T9_dir90_highdamp.yml,8,9,6.9767,90,highdamp,highdamp,highdamp,1,4.0,100,1300,150,1300,highdamp,20,Hs8_Tp9_dir90,-0.051831526622950666,0.30927652177857823,0.3939675415403402,4.723670796685726,14.21175901224358,29.209623375850732,1.2635365211097171,3.6507361579977644,7.618463840255817
