filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,Std Z,Std pitch,Std roll,Mean Z,Mean pitch,Mean roll,MPM Z,MPM pitch,MPM roll,Mean velocity Z,Mean velocity pitch,Mean velocity roll,std velocity Z,std velocity pitch,std velocity roll,pct_quad_dom_Heave_S1,pct_quad_dom_Pitch_S1,pct_quad_dom_Roll_S1,pct_quad_dom_Heave_S2,pct_quad_dom_Pitch_S2,pct_quad_dom_Roll_S2,pct_quad_dom_Heave_S3,pct_quad_dom_Pitch_S3,pct_quad_dom_Roll_S3,pct_quad_dom_Heave_S4,pct_quad_dom_Pitch_S4,pct_quad_dom_Roll_S4
ymlfiles\Case_792_H8_T9_dir90_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,8,9.0,6.9767,90,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,1.2623866586301722,3.6044280050875415,7.627966273728012,-0.0534412342053787,0.316599726960568,0.4018990196032582,4.716654654911664,14.044533111223345,29.250223001004905,0.0216704429571244,0.0005604626087203,0.000219820164969,1.010821882442396,0.0528832951511747,0.1013149675016334,32.25,0.0,0.1,0.0,0.0,0.0,80.47,2.91,44.77,17.37,0.0,0.0
ymlfiles\Case_793_H8_T9_dir135_heavelow_pitchlow_rolllow.yml,8,9.0,6.9767,135,low,low,low,1.0,1.0,100,300.0,150,200,1.2310082898086627,5.256353728535311,4.774023981243316,-0.0258529325912556,0.3432161040054287,0.514116487576278,4.628256295049053,20.2555594974485,18.552025945969245,0.0088249533712153,-0.0008973423587745,0.0005266745516571,0.9222867040594324,0.0716232473007678,0.061971182855279,27.82,0.0,0.0,0.0,0.0,0.0,78.63,10.72,21.45,13.6,0.0,0.0
ymlfiles\Case_794_H8_T9_dir135_heavelinhigh_pitchlinhigh_rolllinhigh.yml,8,9.0,6.9767,135,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,1.208264827583299,5.059578540170426,4.614380177928447,-0.0279474421376594,0.3497133429489624,0.4719087966693849,4.538661229749482,19.516624574785425,17.902739062264587,0.0112288213908724,-0.0009087369572349,0.0005511505654195,0.9006108528514202,0.068924602582229,0.0598218857643473,26.68,0.0,0.0,0.0,0.0,0.0,78.13,9.41,19.85,12.68,0.0,0.0
ymlfiles\Case_795_H8_T9_dir135_heavequadhigh_pitchquadhigh_rollquadhigh.yml,8,9.0,6.9767,135,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,1.2147275350592015,5.114779200897748,4.706469822978382,-0.0270933324670589,0.345443573579783,0.4834190932052145,4.5652096726899485,19.72250170206849,18.268064310321297,0.0105710196366764,-0.0009159203791244,0.0005430182076526,0.9057324086736492,0.0696815464293355,0.0610201722866161,26.96,0.0,0.0,0.0,0.0,0.0,78.25,9.77,20.74,12.9,0.0,0.0
ymlfiles\Case_796_H8_T9_dir135_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,8,9.0,6.9767,135,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,1.2139080503012103,5.087943340878453,4.668839000259633,-0.0273010320077018,0.3490741254800254,0.479756476011301,4.561650756760452,19.62343810520113,18.11827459769633,0.0107726726521742,-0.0009111237589512,0.0005446761363687,0.9053245570979882,0.069326136692317,0.0605482975687361,26.93,0.0,0.0,0.0,0.0,0.0,78.24,9.6,20.39,12.88,0.0,0.0
ymlfiles\Case_797_H8_T9_dir180_heavelow_pitchlow_rolllow.yml,8,9.0,6.9767,180,low,low,low,1.0,1.0,100,300.0,150,200,1.3832223298743005,10.879773298207777,0.0011368960259394,-0.0779171970336399,0.3458432024452237,-0.0023773075561273,5.15567486631312,41.68152242479936,0.0019682748144669,0.0436532358870912,-1.5439599499061514e-06,6.53035517553044e-07,1.16383437267321,0.1540354582901447,2.074493786348691e-05,39.02,0.0,0.0,0.0,0.0,0.0,82.99,45.38,0.0,23.74,1.19,0.0
ymlfiles\Case_798_H8_T9_dir180_heavelinhigh_pitchlinhigh_rolllinhigh.yml,8,9.0,6.9767,180,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,1.3573019617631294,10.538161551804096,0.0010419411449824,-0.076567089378665,0.3380522669607048,-0.0024925545349218,5.057558870300772,40.37584106633545,0.0014796322323182,0.0444088475576944,-1.1427462380959429e-06,1.1041108345005622e-06,1.1313008104060316,0.1493097831549271,1.765659356176473e-05,37.67,0.0,0.0,0.0,0.0,0.0,82.51,43.96,0.0,22.42,0.95,0.0
ymlfiles\Case_799_H8_T9_dir180_heavequadhigh_pitchquadhigh_rollquadhigh.yml,8,9.0,6.9767,180,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,1.3604274899393278,10.417468691303554,0.0008722954630928,-0.0714415915137994,0.3463582367566969,-0.0023956953290921,5.075068910224525,39.92962009157943,0.0009337041483786,0.0442241016736704,-1.2274960105980174e-06,6.304603405684175e-07,1.1278863426432113,0.1475806479007569,1.4876272656785944e-05,37.53,0.0,0.0,0.0,0.0,0.0,82.46,43.43,0.0,22.28,0.86,0.0
ymlfiles\Case_800_H8_T9_dir180_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,8,9.0,6.9767,180,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,1.3616940434277027,10.499822489386146,0.0008991249253875,-0.0742163837888096,0.3446908328998226,-0.0023762518070698,5.076804393435926,40.23884576683333,0.0010578176546888,0.0442890039200753,-1.2035489510158317e-06,5.544806624892474e-07,1.132909695199777,0.1487677872585054,1.6656923096833033e-05,37.74,0.0,0.0,0.0,0.0,0.0,82.53,43.8,0.0,22.49,0.92,0.0
ymlfiles\Case_801_H8_T9p5_dir0_heavelow_pitchlow_rolllow.yml,8,9.5,7.3643,0,low,low,low,1.0,1.0,100,300.0,150,200,1.271246131135369,5.29821646035581,0.0014192270768776,-0.0618205531029286,-0.5334608572310817,-0.0023184463624388,4.727105358597909,19.53246621293797,0.0030849213901901,0.0098271001173609,-7.040279590491023e-06,2.3790367117481514e-07,0.9786121322149316,0.0709593947738851,2.8642109475880985e-05,30.68,0.0,0.0,0.0,0.0,0.0,79.84,10.39,0.0,16.0,0.0,0.0
ymlfiles\Case_802_H8_T9p5_dir0_heavelinhigh_pitchlinhigh_rolllinhigh.yml,8,9.5,7.3643,0,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,1.24630846232594,5.186229070678051,0.0020888252929126,-0.0601298861886319,-0.5006460028423303,-0.0023239359398716,4.633202681999863,19.15058951156362,0.0056365234127457,0.0118499112466002,-6.665457191949743e-06,2.396410294103809e-07,0.9494720579807148,0.0695223448124878,4.112056550310716e-05,29.22,0.0,0.0,0.0,0.0,0.0,79.23,9.7,0.0,14.76,0.0,0.0
ymlfiles\Case_803_H8_T9p5_dir0_heavequadhigh_pitchquadhigh_rollquadhigh.yml,8,9.5,7.3643,0,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,1.249807161090997,5.224956326373042,0.0022609559690294,-0.058141570623404,-0.4954451367494421,-0.0022771452769716,4.649470665949544,19.296201267913013,0.0063744213787304,0.0113460211917925,-6.8705297710841885e-06,8.403176464604285e-08,0.9490223013928376,0.0700014158149331,4.5701160145561405e-05,29.2,0.0,0.0,0.0,0.0,0.0,79.22,9.93,0.0,14.74,0.0,0.0
ymlfiles\Case_804_H8_T9p5_dir0_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,8,9.5,7.3643,0,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,1.2507125813767044,5.203390044664504,0.0023938014094726,-0.0592932646806516,-0.5016569846982983,-0.0023505416566412,4.651453482717397,19.21145479525744,0.006754399417693,0.0115224949589743,-6.769956600203782e-06,2.2597277643208735e-07,0.9521143024991956,0.0697438810743548,4.412932159752073e-05,29.36,0.0,0.0,0.0,0.0,0.0,79.29,9.8,0.0,14.87,0.0,0.0
ymlfiles\Case_805_H8_T9p5_dir45_heavelow_pitchlow_rolllow.yml,8,9.5,7.3643,45,low,low,low,1.0,1.0,100,300.0,150,200,1.4145319550403015,4.828416410869695,8.218246124658172,-0.0670737685972779,-0.212867663788091,0.1399881709709814,5.266879317383009,18.053501300278352,31.29385754942965,0.0266051535387279,-0.0005281401372282,-0.0002701409782479,1.117851492681236,0.066051240464269,0.1133746944220546,37.1,0.0,0.33,0.0,0.0,0.0,82.3,8.07,49.75,21.87,0.0,0.0
ymlfiles\Case_806_H8_T9p5_dir45_heavelinhigh_pitchlinhigh_rolllinhigh.yml,8,9.5,7.3643,45,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,1.3901848215512853,4.724949846550977,7.9210077571866035,-0.0651185955298511,-0.2070577631779115,0.1423396212388113,5.175515162504201,17.6649330269505,30.17259844233937,0.0285455284655645,-0.0005008184845032,-0.0002564368934652,1.0878566020369749,0.0643781163485731,0.1092834306650688,35.8,0.0,0.23,0.0,0.0,0.0,81.82,7.31,48.15,20.62,0.0,0.0
ymlfiles\Case_807_H8_T9p5_dir45_heavequadhigh_pitchquadhigh_rollquadhigh.yml,8,9.5,7.3643,45,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,1.3923203694482018,4.783373399999894,7.969722263002089,-0.0619317267627563,-0.2046542222123579,0.1366359794529563,5.187963305791735,17.88735475979487,30.348396809929223,0.0280228891408175,-0.0005034661852693,-0.0002629714468964,1.0870974764927075,0.0651584175240189,0.1098681945968135,35.76,0.0,0.24,0.0,0.0,0.0,81.81,7.66,48.38,20.59,0.0,0.0
ymlfiles\Case_808_H8_T9p5_dir45_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,8,9.5,7.3643,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,1.3936084748267543,4.746897381231615,8.018807786486484,-0.0640398250925497,-0.2044276984504645,0.1379295300141121,5.190106711806146,17.7505790284428,30.534160226942586,0.0281029496811283,-0.0005096501048007,-0.0002593567782627,1.0908632352468877,0.0647237675012248,0.1105942886734237,35.93,0.0,0.26,0.0,0.0,0.0,81.87,7.46,48.67,20.75,0.0,0.0
ymlfiles\Case_809_H8_T9p5_dir90_heavelow_pitchlow_rolllow.yml,8,9.5,7.3643,90,low,low,low,1.0,1.0,100,300.0,150,200,1.3510111337585402,3.519110003480941,7.48999296303695,-0.0620786728149748,0.3500303321298362,0.3890994904057457,5.028518286671691,13.747499339242138,28.66170883178176,0.0106456784037421,0.0006730953300534,0.0002195487440699,1.054333810384593,0.0515351748520001,0.0975493777210014,34.29,0.0,0.06,0.0,0.0,0.0,81.26,2.52,43.04,19.22,0.0,0.0
ymlfiles\Case_810_H8_T9p5_dir90_heavelinhigh_pitchlinhigh_rolllinhigh.yml,8,9.5,7.3643,90,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,1.3268258901771692,3.384000173160938,7.25007285084356,-0.0599714533224734,0.332874976344911,0.3802890550210494,4.938323081801287,13.216606282577557,27.74416962421858,0.0135688558234635,0.0006300948532568,0.0002059911241359,1.0253446366199828,0.0497145246723694,0.0941787774984978,32.94,0.0,0.04,0.0,0.0,0.0,80.74,2.03,41.41,17.99,0.0,0.0
ymlfiles\Case_811_H8_T9p5_dir90_heavequadhigh_pitchquadhigh_rollquadhigh.yml,8,9.5,7.3643,90,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,1.3304179710453892,3.4461393079833305,7.327407082263817,-0.0583592973916041,0.3398977534188809,0.3682564011838266,4.95435088874024,13.459562818514694,28.027149933451994,0.0128322749045523,0.0006388227596704,0.000209615212238,1.0263490910696682,0.0505154712462704,0.0951685476797473,32.99,0.0,0.05,0.0,0.0,0.0,80.76,2.24,41.89,18.03,0.0,0.0
ymlfiles\Case_812_H8_T9p5_dir90_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,8,9.5,7.3643,90,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,1.3309033250199327,3.4126218456909423,7.330549984234281,-0.0594928006487422,0.3391000673242915,0.3793753219046609,4.954461229996683,13.331162084542902,28.048566869575662,0.0127847759134448,0.0006449832666519,0.0002094549464457,1.028821911460917,0.0500885405605923,0.0952701483915324,33.11,0.0,0.05,0.0,0.0,0.0,80.8,2.12,41.94,18.14,0.0,0.0
ymlfiles\Case_813_H8_T9p5_dir135_heavelow_pitchlow_rolllow.yml,8,9.5,7.3643,135,low,low,low,1.0,1.0,100,300.0,150,200,1.2959406046061646,4.983607303321548,4.778336232669947,-0.0287655482737627,0.3170457955182443,0.476717431940621,4.85575063880845,19.163178488894197,18.48667109204576,0.0037806678027685,-0.000871570145584,0.0004742398172033,0.9369667456611828,0.0664366121086576,0.0602185958603771,28.58,0.0,0.0,0.0,0.0,0.0,78.96,8.24,20.15,14.22,0.0,0.0
ymlfiles\Case_814_H8_T9p5_dir135_heavelinhigh_pitchlinhigh_rolllinhigh.yml,8,9.5,7.3643,135,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,1.274340637049225,4.818255835869153,4.636666127531169,-0.0302724878642706,0.3224919735889718,0.4411504651390395,4.771995559861948,18.543327466165145,17.91817235168607,0.0064075689497147,-0.0008898658642762,0.0005007220467652,0.9159989313872764,0.0641416326722481,0.0582969884945159,27.5,0.0,0.0,0.0,0.0,0.0,78.49,7.2,18.7,13.33,0.0,0.0
ymlfiles\Case_815_H8_T9p5_dir135_heavequadhigh_pitchquadhigh_rollquadhigh.yml,8,9.5,7.3643,135,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,1.2801246793063208,4.872109823134225,4.722899823814619,-0.0295781556255623,0.3185401547102657,0.4497308690045051,4.795605806813013,18.74404206854565,18.25074001245113,0.0055645651432424,-0.0008941498268834,0.0004921884820214,0.920430651967596,0.0648867273258203,0.0594109432706802,27.73,0.0,0.0,0.0,0.0,0.0,78.59,7.54,19.54,13.52,0.0,0.0
ymlfiles\Case_816_H8_T9p5_dir135_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,8,9.5,7.3643,135,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,1.27956752908636,4.8444649040961485,4.6858615454596375,-0.0296231382779038,0.321713315471386,0.4475331145009478,4.792622137140754,18.643671055411563,18.108964886815368,0.005852375435689,-0.0008895836249256,0.0004942838127098,0.9203065305686624,0.0645155707693662,0.0589510995964326,27.72,0.0,0.0,0.0,0.0,0.0,78.59,7.37,19.19,13.52,0.0,0.0
ymlfiles\Case_817_H8_T9p5_dir180_heavelow_pitchlow_rolllow.yml,8,9.5,7.3643,180,low,low,low,1.0,1.0,100,300.0,150,200,1.451509768979666,10.288836419172933,0.0012335032993817,-0.0773277895805774,0.2264495543235399,-0.0024239443659131,5.398265791276822,39.2334593946783,0.0022812050342778,0.029495962870948,1.2061202360849288e-05,8.793161362300283e-07,1.1765837130424344,0.1430835866283223,2.092628018225963e-05,39.54,0.0,0.0,0.0,0.0,0.0,83.17,42.0,0.0,24.25,0.68,0.0
ymlfiles\Case_818_H8_T9p5_dir180_heavelinhigh_pitchlinhigh_rolllinhigh.yml,8,9.5,7.3643,180,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,1.4260272175203392,9.98737069947288,0.0010245629088971,-0.0758656693555206,0.2214808721434458,-0.0024056891345003,5.301750134120381,38.081582998499805,0.0014943262932489,0.0308693992240176,1.1062701872546658e-05,7.241718702113761e-07,1.1441186322043688,0.1388269227103373,1.7645132526767546e-05,38.21,0.0,0.0,0.0,0.0,0.0,82.7,40.59,0.0,22.94,0.53,0.0
ymlfiles\Case_819_H8_T9p5_dir180_heavequadhigh_pitchquadhigh_rollquadhigh.yml,8,9.5,7.3643,180,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,1.428264234222557,9.906384649129498,0.0009570600019806,-0.070590463916585,0.224581088066101,-0.0023971489600233,5.317928071132505,37.779661928421135,0.0012486034060323,0.0308145036326185,1.120412485900182e-05,7.286085238046301e-07,1.1403105717979138,0.1376168405200516,1.6429528297756532e-05,38.05,0.0,0.0,0.0,0.0,0.0,82.65,40.18,0.0,22.79,0.49,0.0
