filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,Std Z,Std pitch,Std roll,Mean Z,Mean pitch,Mean roll,MPM Z,MPM pitch,MPM roll,Mean velocity Z,Mean velocity pitch,Mean velocity roll,std velocity Z,std velocity pitch,std velocity roll
ymlfiles\Case_168_H1_T9_dir45_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,9.0,6.9767,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.26052597981148784,0.5674882941047155,0.9509736552565944,-0.15378886238285344,0.6740226556042671,-0.0035687559513093796,0.8352308805828079,2.831192545924917,3.6083970802155316,-0.0009921852770186357,-5.228170983503288e-06,3.9688996156219596e-06,0.20374263553394514,0.007983574314848925,0.013125271313565303
ymlfiles\Case_169_H1_T9_dir90_heavelow_pitchlow_rolllow.yml,1,9.0,6.9767,90,low,low,low,1.0,1.0,100,300.0,150,200,0.2593742346374043,0.587884591543891,0.8011134902890467,-0.1534544473345114,0.6774162391913796,0.0015898953910918204,0.8312943575240401,2.913584346059388,3.0378776683099047,-0.0011025462148488829,-2.049260037700796e-06,-9.816111974350875e-06,0.20138279220758196,0.008340412211248423,0.010617592092961942
ymlfiles\Case_170_H1_T9_dir90_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,9.0,6.9767,90,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.25130198174893653,0.5329744207000214,0.7248184954543281,-0.15333491738424002,0.6780155963313318,0.0017835459099342157,0.8003739493062506,2.705119049811954,2.749773761782988,-0.000999551260493416,-1.4601772316172089e-06,-8.985481186038256e-06,0.19328473041444255,0.007578076645470867,0.009628829708710736
ymlfiles\Case_171_H1_T9_dir90_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,9.0,6.9767,90,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.25810714272509966,0.5827785130793672,0.7938329346002391,-0.1534649113295931,0.6775049987162163,0.00154775481571658,0.826373599193617,2.894361420751447,3.0100822645875156,-0.001093693418876724,-1.9637900135012498e-06,-9.744222073984537e-06,0.20010411491132016,0.008268754185895606,0.010524475534853006
ymlfiles\Case_172_H1_T9_dir90_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,9.0,6.9767,90,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.25539385882022475,0.5548356221507881,0.7487998809870356,-0.153376428631351,0.677795965627204,0.001672607674380457,0.8160117730935157,2.78814857900374,2.8399876237496553,-0.0010306020095238691,-1.6741959378969469e-06,-9.31604428144629e-06,0.1973675848147286,0.007881710378781333,0.009937269213658239
ymlfiles\Case_173_H1_T9_dir135_heavelow_pitchlow_rolllow.yml,1,9.0,6.9767,135,low,low,low,1.0,1.0,100,300.0,150,200,0.2582500268068441,0.6684012736688139,0.5583881695166786,-0.15342956662713633,0.682478664491903,0.0014946483919044207,0.8272524069720375,3.222477400490123,2.1161366058122124,-0.0008232508838700215,-1.3458485014829545e-05,-1.369349439701484e-05,0.20003832351791748,0.009296717031220869,0.007270323011208808
ymlfiles\Case_174_H1_T9_dir135_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,9.0,6.9767,135,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.250480051285448,0.6256265313211087,0.4996481306248414,-0.15333278021959101,0.6831897596461443,0.0014372090602962453,0.7973551596853765,3.0597907162410194,1.8938307201366773,-0.0007777279384242652,-1.2634659755496093e-05,-1.14253462254945e-05,0.1920639237137959,0.008694021038986258,0.006507980966493661
ymlfiles\Case_175_H1_T9_dir135_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,9.0,6.9767,135,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.25702430356253514,0.6649345204704152,0.5542057329009525,-0.15343862939013148,0.6825691622642743,0.0014375006515648344,0.8225387220455858,3.2092657077451086,2.1002403761666804,-0.0008212622561448043,-1.3366174232152484e-05,-1.350399712884187e-05,0.1987719451933606,0.009247149219791886,0.007217108666462686
ymlfiles\Case_176_H1_T9_dir135_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,9.0,6.9767,135,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.2544336529845576,0.6414324240375948,0.5184620213004023,-0.1533703228195527,0.6828674392633132,0.0014610250913533788,0.8124231199729546,3.1198865200431687,1.9650060705566892,-0.000791305760524542,-1.297879412928174e-05,-1.2274021750036623e-05,0.19609156725891638,0.00891730368859542,0.006749672527802925
ymlfiles\Case_177_H1_T9_dir180_heavelow_pitchlow_rolllow.yml,1,9.0,6.9767,180,low,low,low,1.0,1.0,100,300.0,150,200,0.26954990730083944,1.4350711073852591,0.0003155910199205027,-0.153766414242355,0.6745777265973556,-0.002346012209798383,0.8699830737527026,6.139698410841454,-0.001146125847150557,-0.0015513192349024074,-1.065301489954128e-06,2.0051122696877883e-08,0.2106904192219563,0.020577952727771083,4.413570283376419e-06
ymlfiles\Case_178_H1_T9_dir180_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,9.0,6.9767,180,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.26079543401363836,1.3309697607310171,0.0002809106736307428,-0.15359307151133242,0.6759812379045591,-0.0023451662889069523,0.8366024058886778,5.7463888825533544,-0.0012768155726221716,-0.001432334170510441,-1.0463164359125758e-06,1.8537289773466738e-08,0.20171947473616128,0.019169414296814166,3.940829069736121e-06
ymlfiles\Case_179_H1_T9_dir180_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,9.0,6.9767,180,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.2681011613136408,1.4133067873545127,0.0003156523476349722,-0.1537376368637626,0.6748920191083565,-0.002345959236844758,0.8644574413899233,6.057917834467988,-0.00114590006367588,-0.0015269931666415137,-1.0602133541700349e-06,1.9620294792391064e-08,0.20919431809410752,0.020282549555770094,4.412077833470742e-06
ymlfiles\Case_180_H1_T9_dir180_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,9.0,6.9767,180,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.2652312236495779,1.3658348501813777,0.00029298681218061477,-0.15364411974953915,0.6754244913798875,-0.002345583136000478,0.8535483405375496,5.878905848922916,-0.001231303398350741,-0.0014735022354646536,-1.0562841691325145e-06,1.9069287782920814e-08,0.20622615286354273,0.01964025760832103,4.10721332607458e-06
ymlfiles\Case_181_H1_T9p5_dir0_heavelow_pitchlow_rolllow.yml,1,9.5,7.3643,0,low,low,low,1.0,1.0,100,300.0,150,200,0.2468353576140702,0.7291686482103843,0.00030291101974352843,-0.15333173204450015,0.671182408734438,-0.002347860986975135,0.7811771243674458,3.4442947976681433,-0.0011992210152930104,-0.0016535855204821862,6.186513584574933e-07,1.3209229481911155e-08,0.18648341882959765,0.010681218820287474,4.133641164969122e-06
ymlfiles\Case_182_H1_T9p5_dir0_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,9.5,7.3643,0,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.2397224857634815,0.6972582733910393,0.00027999761837625166,-0.15337966181771695,0.6707563736666421,-0.002345146532733533,0.7537091656603148,3.323703144872528,-0.001283786851014201,-0.0016236625149511795,5.587223696419983e-07,1.23669969738165e-08,0.17940073526110126,0.01025934207638426,3.8137010038090413e-06
ymlfiles\Case_183_H1_T9p5_dir0_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,9.5,7.3643,0,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.24581161129742837,0.7261062683545669,0.000304173637908772,-0.1533535940982202,0.6711423670831774,-0.002347351038057394,0.7772793994354557,3.432469968529305,-0.0011941050504380216,-0.0016505337762759266,6.19768144569552e-07,1.3151292516380359e-08,0.18545578697918047,0.010640229732053775,4.151714836848374e-06
ymlfiles\Case_184_H1_T9p5_dir0_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,9.5,7.3643,0,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.24334438717300014,0.7086806799307127,0.0002871417957884845,-0.15335571944789272,0.6709650467638151,-0.0023482415600874357,0.7677364074824578,3.366835658469901,-0.0012595702138539124,-0.0016352127344439289,5.733044877690256e-07,1.2689063130951627e-08,0.1829837095471419,0.010410653838841506,3.922346546382958e-06
ymlfiles\Case_185_H1_T9p5_dir45_heavelow_pitchlow_rolllow.yml,1,9.5,7.3643,45,low,low,low,1.0,1.0,100,300.0,150,200,0.26158111736054857,0.5462544751065946,0.9172589919869834,-0.15385222395445775,0.672735595924016,-0.003752601847391114,0.8371394056659857,2.746937853698495,3.4766823521882553,-0.0011369157902485472,-9.261623388207865e-06,6.223249377516571e-06,0.19883649575370627,0.0075951615826681754,0.012486484696153117
