sea_key,Hs_m,Tp_s,direction_deg,wave_type,case,heave_option,pitch_option,roll_option,response,status,mean,std,rms,max_abs,ptp,amplitude,minimum,maximum
Hs1_Tp2_Dirmodel,1.0,2.0,,Dean stream,case_01,low,low,low,heave,ok,-0.3656231846181343,0.003305425328657432,0.3656381257020521,0.37877705693244934,0.028149843215942383,0.014074921607971191,-0.37877705693244934,-0.35062721371650696
Hs1_Tp2_Dirmodel,1.0,2.0,,Dean stream,case_01,low,low,low,pitch,ok,-0.011108082351132325,0.30973293765560445,0.30993206055890715,0.45439343565646634,0.8952125106677671,0.44760625533388354,-0.45439343565646634,0.4408190750113007
Hs1_Tp2_Dirmodel,1.0,2.0,,Dean stream,case_01,low,low,low,roll,ok,-0.0019422052482577909,7.760937961777654e-05,0.001943755242350426,0.0021735916018133543,0.0004805386594174412,0.0002402693297087206,-0.0021735916018133543,-0.001693052942395913
Hs1_Tp2_Dirmodel,1.0,2.0,,Dean stream,case_02,low,low,linhigh,heave,ok,-0.36562318603197735,0.003305421909255341,0.3656381270849254,0.37877705693244934,0.028149813413619995,0.014074906706809998,-0.37877705693244934,-0.35062724351882935
Hs1_Tp2_Dirmodel,1.0,2.0,,Dean stream,case_02,low,low,linhigh,pitch,ok,-0.011108069764532894,0.3097329355988157,0.30993205805233154,0.4543930621304961,0.8952118703375322,0.4476059351687661,-0.4543930621304961,0.44081880820703623
Hs1_Tp2_Dirmodel,1.0,2.0,,Dean stream,case_02,low,low,linhigh,roll,ok,-0.0019434318790940814,4.876174831793367e-05,0.001944043512058867,0.002091485716040226,0.0003180467331727523,0.00015902336658637616,-0.002091485716040226,-0.0017734389828674736
Hs1_Tp2_Dirmodel,1.0,2.0,,Dean stream,case_03,low,low,quadhigh,heave,ok,-0.36562318502740465,0.0033054237335331995,0.36563812609688556,0.37877705693244934,0.028149843215942383,0.014074921607971191,-0.37877705693244934,-0.35062721371650696
Hs1_Tp2_Dirmodel,1.0,2.0,,Dean stream,case_03,low,low,quadhigh,pitch,ok,-0.011108078212501881,0.3097329369724959,0.3099320597279073,0.45439332893476053,0.8952123239047819,0.44760616195239095,-0.45439332893476053,0.44081899497002136
Hs1_Tp2_Dirmodel,1.0,2.0,,Dean stream,case_03,low,low,quadhigh,roll,ok,-0.0019426678799511663,6.642779354021969e-05,0.0019438032677070438,0.0021426977523979407,0.000419699887472493,0.0002098499437362465,-0.0021426977523979407,-0.0017229978649254477
Hs1_Tp2_Dirmodel,1.0,2.0,,Dean stream,case_04,low,linhigh,low,heave,ok,-0.36562389098154324,0.003308098321758492,0.3656388562105918,0.3787836730480194,0.028144747018814087,0.014072373509407043,-0.3787836730480194,-0.3506389260292053
