filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,Std Z,Std pitch,Std roll,Mean Z,Mean pitch,Mean roll,MPM Z,MPM pitch,MPM roll
ymlfiles\Case_290_H2_T4_dir90_heavelinhigh_pitchlinhigh_rolllinhigh.yml,2,4.0,3.1008,90,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.03919731736260636,0.36114543866266885,0.48510480185432875,-0.16228542488054337,0.6644151615280778,0.009184228674962807,-0.00922982813705156,2.090856997743728,1.9554149128081961
ymlfiles\Case_291_H2_T4_dir90_heavequadhigh_pitchquadhigh_rollquadhigh.yml,2,4.0,3.1008,90,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.043055323006639445,0.36636479638226077,0.48762414726025877,-0.162286208040891,0.6644784450190693,0.009152994586710933,0.0056652063958844145,2.1106567971185997,1.965179770158403
ymlfiles\Case_292_H2_T4_dir90_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,2,4.0,3.1008,90,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.04136257660417292,0.36337977142934075,0.4860346207826254,-0.16228592441626838,0.6644392281880984,0.00917944468842608,-0.0008796802331763887,2.0993282929744126,1.959101782765577
ymlfiles\Case_293_H2_T4_dir135_heavelow_pitchlow_rolllow.yml,2,4.0,3.1008,135,low,low,low,1.0,1.0,100,300.0,150,200,0.050238762161627905,0.5737085244340371,0.2868446500089839,-0.15953412533924932,0.6993970641046012,0.017091782677842938,0.038040592344382534,2.9889715926726392,1.1645646512278574
ymlfiles\Case_294_H2_T4_dir135_heavelinhigh_pitchlinhigh_rolllinhigh.yml,2,4.0,3.1008,135,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.04683962018432161,0.5710362818315704,0.2847429167380303,-0.15953700877294186,0.6995338175719215,0.017562938787515647,0.024840554293563466,2.978642942884784,1.1569152340820228
ymlfiles\Case_295_H2_T4_dir135_heavequadhigh_pitchquadhigh_rollquadhigh.yml,2,4.0,3.1008,135,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.050035687266229374,0.5732092683360471,0.28670778660640805,-0.15953337817616525,0.6993757526744877,0.0171185357114816,0.037242703884281525,2.9870078181836908,1.1640919415705828
ymlfiles\Case_296_H2_T4_dir135_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,2,4.0,3.1008,135,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.048644080838538106,0.5719856099326209,0.28540570940664867,-0.1595339438728631,0.6994495529457878,0.017357993757062092,0.03185036818617598,2.9823476184833946,1.1592193000909892
ymlfiles\Case_297_H2_T4_dir180_heavelow_pitchlow_rolllow.yml,2,4.0,3.1008,180,low,low,low,1.0,1.0,100,300.0,150,200,0.06608104393322699,1.5338129346410703,0.00022607094197178322,-0.1643232224872322,0.7002164762718595,-0.0023576164308754,0.09600937034022994,6.812184857582268,-0.001499059073073163
ymlfiles\Case_298_H2_T4_dir180_heavelinhigh_pitchlinhigh_rolllinhigh.yml,2,4.0,3.1008,180,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.06239420788988506,1.5254382273420153,0.00022231367092539074,-0.1643303669278687,0.7004542942215368,-0.0023584541709334894,0.08160540935359731,6.779187472598291,-0.0015137385433108838
ymlfiles\Case_299_H2_T4_dir180_heavequadhigh_pitchquadhigh_rollquadhigh.yml,2,4.0,3.1008,180,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.06579324710429893,1.5301172427854721,0.00022646440674298817,-0.16431053429666873,0.7000145622972818,-0.00235831531971908,0.0948953785699089,6.797256276972969,-0.0014978250079814984
ymlfiles\Case_300_H2_T4_dir180_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,2,4.0,3.1008,180,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.06434554378362461,1.5275913542946782,0.00021553526981823572,-0.1643207276710888,0.7002032310544792,-0.002358760756979156,0.08924421875256539,6.787653063990696,-0.001539466966750143
ymlfiles\Case_301_H2_T4p5_dir0_heavelow_pitchlow_rolllow.yml,2,4.5,3.4884,0,low,low,low,1.0,1.0,100,300.0,150,200,0.09176738285510713,1.4206337618790863,0.00015831447862348034,-0.16272282344427258,0.6690954938789633,-0.0023328698369687695,0.19475813217608667,6.3105807360506185,-0.0017273636736793462
ymlfiles\Case_302_H2_T4p5_dir0_heavelinhigh_pitchlinhigh_rolllinhigh.yml,2,4.5,3.4884,0,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.08447650777283301,1.410416786410121,0.00014792224688843286,-0.1627174702475785,0.6688121287896344,-0.0023319366850792227,0.16652125944133606,6.269590942473739,-0.0017666807063211926
ymlfiles\Case_303_H2_T4p5_dir0_heavequadhigh_pitchquadhigh_rollquadhigh.yml,2,4.5,3.4884,0,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.09111306281225381,1.4170231644935556,0.00016176022441044804,-0.1627138700260735,0.6688702306486499,-0.002333630745345545,0.1922300313763999,6.29588303612965,-0.0017149738269594667
ymlfiles\Case_304_H2_T4p5_dir0_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,2,4.5,3.4884,0,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.08829311289182788,1.4135406865616535,0.0001514944866183658,-0.16271642504389125,0.6688250676759171,-0.0023323947520738756,0.18131119285685962,6.282142965948903,-0.0017529994613874117
ymlfiles\Case_305_H2_T4p5_dir45_heavelow_pitchlow_rolllow.yml,2,4.5,3.4884,45,low,low,low,1.0,1.0,100,300.0,150,200,0.10397957498275945,0.6662345414463545,0.9104693237406244,-0.16246828432850177,0.6765606625793779,0.02623868611708128,0.24209135115697408,3.321681285248297,3.6301011232096236
ymlfiles\Case_306_H2_T4p5_dir45_heavelinhigh_pitchlinhigh_rolllinhigh.yml,2,4.5,3.4884,45,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.09480457462090344,0.6613903373044833,0.9027517149535004,-0.16255681447970335,0.6767180242520389,0.026401694197200645,0.2064060095702175,3.30298307389214,3.6001672541744068
ymlfiles\Case_307_H2_T4p5_dir45_heavequadhigh_pitchquadhigh_rollquadhigh.yml,2,4.5,3.4884,45,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.10305017382363879,0.6653162856169922,0.909043349143808,-0.16247101442182382,0.6766201724259702,0.026368000266569592,0.23847254363483034,3.318284894292046,3.624404021544822
ymlfiles\Case_308_H2_T4p5_dir45_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,2,4.5,3.4884,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.09957526886243853,0.6631234086697334,0.9053575050770007,-0.16250527517552918,0.6766634419830412,0.02632460508686335,0.22497155311674236,3.3098102141073844,3.610224892117984
ymlfiles\Case_309_H2_T4p5_dir90_heavelow_pitchlow_rolllow.yml,2,4.5,3.4884,90,low,low,low,1.0,1.0,100,300.0,150,200,0.09700240738966373,0.481273959968999,0.4378278771568572,-0.16126248339569305,0.6648045113077639,0.009137591573835358,0.21497552630721406,2.557130950622602,1.7592966887994685
ymlfiles\Case_310_H2_T4p5_dir90_heavelinhigh_pitchlinhigh_rolllinhigh.yml,2,4.5,3.4884,90,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.08731216225607191,0.4750336679357308,0.43423433965694647,-0.16130530348407734,0.6647987444224026,0.008860183158997547,0.17739678699252104,2.532854243720582,1.7448754426368691
